time_ms,src,dst,direction,distance_km,delay_ms,jitter_ms,loss_pct,bw_mbps,max_queue_pkt,type,status
240000,UAV_01,UAV_02,BIDIR,0.615,0.002,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_01,UAV_03,BIDIR,1.02,0.003,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_01,UAV_04,BIDIR,1.173,0.004,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_01,UAV_05,BIDIR,1.502,0.005,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_01,UAV_07,BIDIR,1.782,0.006,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_01,UAV_06,BIDIR,1.795,0.006,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_01,UAV_08,BIDIR,2.161,0.007,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_01,UAV_09,BIDIR,2.283,0.008,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_01,UAV_10,BIDIR,2.549,0.008,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_02,UAV_04,BIDIR,0.593,0.002,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_02,UAV_03,BIDIR,0.678,0.002,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_02,UAV_07,BIDIR,1.224,0.004,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_02,UAV_05,BIDIR,1.615,0.005,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_02,UAV_06,BIDIR,1.751,0.006,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_02,UAV_08,BIDIR,2.22,0.007,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_02,UAV_09,BIDIR,2.674,0.009,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_02,UAV_10,BIDIR,2.92,0.01,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_03,UAV_07,BIDIR,0.893,0.003,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_03,UAV_04,BIDIR,1.0,0.003,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_03,UAV_06,BIDIR,1.137,0.004,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_03,UAV_08,BIDIR,1.648,0.005,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_03,UAV_05,BIDIR,2.289,0.008,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_03,UAV_10,BIDIR,2.602,0.009,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_03,UAV_09,BIDIR,3.275,0.011,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_04,UAV_07,BIDIR,1.04,0.003,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_04,UAV_05,BIDIR,1.66,0.006,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_04,UAV_06,BIDIR,2.136,0.007,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_04,UAV_08,BIDIR,2.647,0.009,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_04,UAV_09,BIDIR,2.904,0.01,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_04,UAV_10,BIDIR,3.481,0.012,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_05,UAV_09,BIDIR,1.35,0.005,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_05,UAV_07,BIDIR,2.687,0.009,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_05,UAV_06,BIDIR,3.27,0.011,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_05,UAV_08,BIDIR,3.662,0.012,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_05,UAV_10,BIDIR,3.916,0.013,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_06,UAV_08,BIDIR,0.535,0.002,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_06,UAV_07,BIDIR,1.67,0.006,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_06,UAV_10,BIDIR,1.825,0.006,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_06,UAV_09,BIDIR,4.018,0.013,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_07,UAV_08,BIDIR,2.2,0.007,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_07,UAV_10,BIDIR,3.386,0.011,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_07,UAV_09,BIDIR,3.87,0.013,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_08,UAV_10,BIDIR,1.439,0.005,0.0,0.0,10,10,UAV-UAV,UP
240000,UAV_08,UAV_09,BIDIR,4.282,0.014,0.001,0.0,10,10,UAV-UAV,UP
240000,UAV_09,UAV_10,BIDIR,4.069,0.014,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_01,UAV_02,BIDIR,0.615,0.002,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_01,UAV_03,BIDIR,1.02,0.003,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_01,UAV_04,BIDIR,1.173,0.004,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_01,UAV_05,BIDIR,1.502,0.005,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_01,UAV_07,BIDIR,1.782,0.006,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_01,UAV_06,BIDIR,1.795,0.006,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_01,UAV_08,BIDIR,2.161,0.007,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_01,UAV_09,BIDIR,2.283,0.008,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_01,UAV_10,BIDIR,2.549,0.008,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_02,UAV_04,BIDIR,0.593,0.002,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_02,UAV_03,BIDIR,0.678,0.002,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_02,UAV_07,BIDIR,1.224,0.004,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_02,UAV_05,BIDIR,1.615,0.005,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_02,UAV_06,BIDIR,1.751,0.006,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_02,UAV_08,BIDIR,2.22,0.007,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_02,UAV_09,BIDIR,2.674,0.009,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_02,UAV_10,BIDIR,2.92,0.01,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_03,UAV_07,BIDIR,0.893,0.003,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_03,UAV_04,BIDIR,1.0,0.003,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_03,UAV_06,BIDIR,1.137,0.004,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_03,UAV_08,BIDIR,1.648,0.005,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_03,UAV_05,BIDIR,2.289,0.008,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_03,UAV_10,BIDIR,2.602,0.009,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_03,UAV_09,BIDIR,3.275,0.011,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_04,UAV_07,BIDIR,1.04,0.003,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_04,UAV_05,BIDIR,1.66,0.006,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_04,UAV_06,BIDIR,2.136,0.007,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_04,UAV_08,BIDIR,2.647,0.009,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_04,UAV_09,BIDIR,2.904,0.01,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_04,UAV_10,BIDIR,3.481,0.012,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_05,UAV_09,BIDIR,1.35,0.005,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_05,UAV_07,BIDIR,2.687,0.009,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_05,UAV_06,BIDIR,3.27,0.011,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_05,UAV_08,BIDIR,3.662,0.012,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_05,UAV_10,BIDIR,3.916,0.013,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_06,UAV_08,BIDIR,0.535,0.002,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_06,UAV_07,BIDIR,1.67,0.006,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_06,UAV_10,BIDIR,1.825,0.006,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_06,UAV_09,BIDIR,4.018,0.013,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_07,UAV_08,BIDIR,2.2,0.007,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_07,UAV_10,BIDIR,3.386,0.011,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_07,UAV_09,BIDIR,3.87,0.013,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_08,UAV_10,BIDIR,1.439,0.005,0.0,0.0,10,10,UAV-UAV,UP
240100,UAV_08,UAV_09,BIDIR,4.282,0.014,0.001,0.0,10,10,UAV-UAV,UP
240100,UAV_09,UAV_10,BIDIR,4.069,0.014,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_01,UAV_02,BIDIR,0.615,0.002,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_01,UAV_03,BIDIR,1.02,0.003,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_01,UAV_04,BIDIR,1.173,0.004,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_01,UAV_05,BIDIR,1.502,0.005,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_01,UAV_07,BIDIR,1.782,0.006,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_01,UAV_06,BIDIR,1.795,0.006,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_01,UAV_08,BIDIR,2.161,0.007,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_01,UAV_09,BIDIR,2.283,0.008,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_01,UAV_10,BIDIR,2.549,0.008,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_02,UAV_04,BIDIR,0.593,0.002,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_02,UAV_03,BIDIR,0.678,0.002,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_02,UAV_07,BIDIR,1.224,0.004,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_02,UAV_05,BIDIR,1.615,0.005,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_02,UAV_06,BIDIR,1.751,0.006,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_02,UAV_08,BIDIR,2.22,0.007,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_02,UAV_09,BIDIR,2.674,0.009,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_02,UAV_10,BIDIR,2.92,0.01,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_03,UAV_07,BIDIR,0.893,0.003,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_03,UAV_04,BIDIR,1.0,0.003,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_03,UAV_06,BIDIR,1.137,0.004,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_03,UAV_08,BIDIR,1.648,0.005,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_03,UAV_05,BIDIR,2.289,0.008,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_03,UAV_10,BIDIR,2.602,0.009,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_03,UAV_09,BIDIR,3.275,0.011,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_04,UAV_07,BIDIR,1.04,0.003,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_04,UAV_05,BIDIR,1.66,0.006,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_04,UAV_06,BIDIR,2.136,0.007,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_04,UAV_08,BIDIR,2.647,0.009,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_04,UAV_09,BIDIR,2.904,0.01,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_04,UAV_10,BIDIR,3.481,0.012,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_05,UAV_09,BIDIR,1.35,0.005,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_05,UAV_07,BIDIR,2.687,0.009,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_05,UAV_06,BIDIR,3.27,0.011,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_05,UAV_08,BIDIR,3.662,0.012,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_05,UAV_10,BIDIR,3.916,0.013,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_06,UAV_08,BIDIR,0.535,0.002,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_06,UAV_07,BIDIR,1.67,0.006,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_06,UAV_10,BIDIR,1.825,0.006,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_06,UAV_09,BIDIR,4.018,0.013,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_07,UAV_08,BIDIR,2.2,0.007,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_07,UAV_10,BIDIR,3.386,0.011,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_07,UAV_09,BIDIR,3.87,0.013,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_08,UAV_10,BIDIR,1.439,0.005,0.0,0.0,10,10,UAV-UAV,UP
240200,UAV_08,UAV_09,BIDIR,4.282,0.014,0.001,0.0,10,10,UAV-UAV,UP
240200,UAV_09,UAV_10,BIDIR,4.069,0.014,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_01,UAV_02,BIDIR,0.615,0.002,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_01,UAV_03,BIDIR,1.02,0.003,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_01,UAV_04,BIDIR,1.173,0.004,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_01,UAV_05,BIDIR,1.502,0.005,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_01,UAV_07,BIDIR,1.782,0.006,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_01,UAV_06,BIDIR,1.795,0.006,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_01,UAV_08,BIDIR,2.161,0.007,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_01,UAV_09,BIDIR,2.283,0.008,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_01,UAV_10,BIDIR,2.549,0.008,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_02,UAV_04,BIDIR,0.593,0.002,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_02,UAV_03,BIDIR,0.678,0.002,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_02,UAV_07,BIDIR,1.224,0.004,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_02,UAV_05,BIDIR,1.615,0.005,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_02,UAV_06,BIDIR,1.751,0.006,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_02,UAV_08,BIDIR,2.22,0.007,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_02,UAV_09,BIDIR,2.674,0.009,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_02,UAV_10,BIDIR,2.92,0.01,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_03,UAV_07,BIDIR,0.893,0.003,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_03,UAV_04,BIDIR,1.0,0.003,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_03,UAV_06,BIDIR,1.137,0.004,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_03,UAV_08,BIDIR,1.648,0.005,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_03,UAV_05,BIDIR,2.289,0.008,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_03,UAV_10,BIDIR,2.602,0.009,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_03,UAV_09,BIDIR,3.275,0.011,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_04,UAV_07,BIDIR,1.04,0.003,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_04,UAV_05,BIDIR,1.66,0.006,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_04,UAV_06,BIDIR,2.136,0.007,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_04,UAV_08,BIDIR,2.647,0.009,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_04,UAV_09,BIDIR,2.904,0.01,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_04,UAV_10,BIDIR,3.481,0.012,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_05,UAV_09,BIDIR,1.35,0.005,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_05,UAV_07,BIDIR,2.687,0.009,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_05,UAV_06,BIDIR,3.27,0.011,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_05,UAV_08,BIDIR,3.662,0.012,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_05,UAV_10,BIDIR,3.916,0.013,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_06,UAV_08,BIDIR,0.535,0.002,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_06,UAV_07,BIDIR,1.67,0.006,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_06,UAV_10,BIDIR,1.825,0.006,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_06,UAV_09,BIDIR,4.018,0.013,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_07,UAV_08,BIDIR,2.2,0.007,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_07,UAV_10,BIDIR,3.386,0.011,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_07,UAV_09,BIDIR,3.87,0.013,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_08,UAV_10,BIDIR,1.439,0.005,0.0,0.0,10,10,UAV-UAV,UP
240300,UAV_08,UAV_09,BIDIR,4.282,0.014,0.001,0.0,10,10,UAV-UAV,UP
240300,UAV_09,UAV_10,BIDIR,4.069,0.014,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_01,UAV_02,BIDIR,0.615,0.002,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_01,UAV_03,BIDIR,1.02,0.003,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_01,UAV_04,BIDIR,1.173,0.004,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_01,UAV_05,BIDIR,1.502,0.005,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_01,UAV_07,BIDIR,1.782,0.006,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_01,UAV_06,BIDIR,1.795,0.006,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_01,UAV_08,BIDIR,2.161,0.007,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_01,UAV_09,BIDIR,2.283,0.008,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_01,UAV_10,BIDIR,2.549,0.008,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_02,UAV_04,BIDIR,0.593,0.002,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_02,UAV_03,BIDIR,0.678,0.002,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_02,UAV_07,BIDIR,1.224,0.004,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_02,UAV_05,BIDIR,1.615,0.005,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_02,UAV_06,BIDIR,1.751,0.006,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_02,UAV_08,BIDIR,2.22,0.007,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_02,UAV_09,BIDIR,2.674,0.009,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_02,UAV_10,BIDIR,2.92,0.01,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_03,UAV_07,BIDIR,0.893,0.003,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_03,UAV_04,BIDIR,1.0,0.003,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_03,UAV_06,BIDIR,1.137,0.004,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_03,UAV_08,BIDIR,1.648,0.005,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_03,UAV_05,BIDIR,2.289,0.008,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_03,UAV_10,BIDIR,2.602,0.009,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_03,UAV_09,BIDIR,3.275,0.011,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_04,UAV_07,BIDIR,1.04,0.003,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_04,UAV_05,BIDIR,1.66,0.006,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_04,UAV_06,BIDIR,2.136,0.007,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_04,UAV_08,BIDIR,2.647,0.009,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_04,UAV_09,BIDIR,2.904,0.01,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_04,UAV_10,BIDIR,3.481,0.012,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_05,UAV_09,BIDIR,1.35,0.005,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_05,UAV_07,BIDIR,2.687,0.009,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_05,UAV_06,BIDIR,3.27,0.011,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_05,UAV_08,BIDIR,3.662,0.012,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_05,UAV_10,BIDIR,3.916,0.013,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_06,UAV_08,BIDIR,0.535,0.002,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_06,UAV_07,BIDIR,1.67,0.006,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_06,UAV_10,BIDIR,1.825,0.006,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_06,UAV_09,BIDIR,4.018,0.013,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_07,UAV_08,BIDIR,2.2,0.007,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_07,UAV_10,BIDIR,3.386,0.011,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_07,UAV_09,BIDIR,3.87,0.013,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_08,UAV_10,BIDIR,1.439,0.005,0.0,0.0,10,10,UAV-UAV,UP
240400,UAV_08,UAV_09,BIDIR,4.282,0.014,0.001,0.0,10,10,UAV-UAV,UP
240400,UAV_09,UAV_10,BIDIR,4.069,0.014,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_01,UAV_02,BIDIR,0.615,0.002,0.0,0.0,10,10,UAV-UAV,UP
240500,UAV_01,UAV_03,BIDIR,1.02,0.003,0.0,0.0,10,10,UAV-UAV,UP
240500,UAV_01,UAV_04,BIDIR,1.173,0.004,0.0,0.0,10,10,UAV-UAV,UP
240500,UAV_01,UAV_05,BIDIR,1.502,0.005,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_01,UAV_07,BIDIR,1.782,0.006,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_01,UAV_06,BIDIR,1.795,0.006,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_01,UAV_08,BIDIR,2.161,0.007,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_01,UAV_09,BIDIR,2.283,0.008,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_01,UAV_10,BIDIR,2.549,0.008,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_02,UAV_04,BIDIR,0.593,0.002,0.0,0.0,10,10,UAV-UAV,UP
240500,UAV_02,UAV_03,BIDIR,0.678,0.002,0.0,0.0,10,10,UAV-UAV,UP
240500,UAV_02,UAV_07,BIDIR,1.224,0.004,0.0,0.0,10,10,UAV-UAV,UP
240500,UAV_02,UAV_05,BIDIR,1.615,0.005,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_02,UAV_06,BIDIR,1.751,0.006,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_02,UAV_08,BIDIR,2.22,0.007,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_02,UAV_09,BIDIR,2.674,0.009,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_02,UAV_10,BIDIR,2.92,0.01,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_03,UAV_07,BIDIR,0.893,0.003,0.0,0.0,10,10,UAV-UAV,UP
240500,UAV_03,UAV_04,BIDIR,1.0,0.003,0.0,0.0,10,10,UAV-UAV,UP
240500,UAV_03,UAV_06,BIDIR,1.137,0.004,0.0,0.0,10,10,UAV-UAV,UP
240500,UAV_03,UAV_08,BIDIR,1.648,0.005,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_03,UAV_05,BIDIR,2.289,0.008,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_03,UAV_10,BIDIR,2.602,0.009,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_03,UAV_09,BIDIR,3.275,0.011,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_04,UAV_07,BIDIR,1.04,0.003,0.0,0.0,10,10,UAV-UAV,UP
240500,UAV_04,UAV_05,BIDIR,1.66,0.006,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_04,UAV_06,BIDIR,2.136,0.007,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_04,UAV_08,BIDIR,2.647,0.009,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_04,UAV_09,BIDIR,2.904,0.01,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_04,UAV_10,BIDIR,3.481,0.012,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_05,UAV_09,BIDIR,1.35,0.005,0.0,0.0,10,10,UAV-UAV,UP
240500,UAV_05,UAV_07,BIDIR,2.687,0.009,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_05,UAV_06,BIDIR,3.27,0.011,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_05,UAV_08,BIDIR,3.662,0.012,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_05,UAV_10,BIDIR,3.916,0.013,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_06,UAV_08,BIDIR,0.535,0.002,0.0,0.0,10,10,UAV-UAV,UP
240500,UAV_06,UAV_07,BIDIR,1.67,0.006,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_06,UAV_10,BIDIR,1.825,0.006,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_06,UAV_09,BIDIR,4.018,0.013,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_07,UAV_08,BIDIR,2.2,0.007,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_07,UAV_10,BIDIR,3.386,0.011,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_07,UAV_09,BIDIR,3.87,0.013,0.001,0.0,10,10,UAV-UAV,UP
240500,UAV_08,UAV_10,BIDIR,1.439,0.005,0.0,0.0,10,10,UAV-UAV,UP
